access_type,transfer_size_kib,block_size_gib,bandwidth_mib_sec,iops,latency_sec,total_time_sec
sequential_read,128,16,26013,208104,0.000610,80.62
sequential_read,1024,16,37585,45105,0.002797,55.80
sequential_read,16384,16,46758,2922.42,0.042181,44.85
sequential_read,65536,16,47467,741.69,0.169835,44.18
random_read,128,16,25900,207200,0.000610,80.97
random_read,1024,16,44682,44682,0.002824,46.94
random_read,16384,16,47357,2959.81,0.042611,44.28
random_read,65536,16,47588,743.57,0.171003,44.07
sequential_write,128,16,2580,20637,0.005809,812.97
sequential_write,1024,16,30207,30207,0.004069,69.43
sequential_write,16384,16,27148,1696.78,0.075137,77.25
sequential_write,65536,16,26012,406.45,0.308287,80.62
random_write,128,16,2154,17236,0.006882,973.38
random_write,1024,16,29145,29145,0.004280,71.96
random_write,16384,16,26155,1634.68,0.075622,80.18
random_write,65536,16,26093,407.70,0.304322,80.37